filepath;artist;title;album;duration;status;yt_video_id;yt_url;yt_score;error_message
\\DESKTOP-U8AN9SJ\Musique\Rock\Beatles\Anthology\1-04 In Spite Of All The Danger.m4a;Beatles;In Spite Of All The Danger;Anthology;164.58303854875282;low_confidence;hADNCcYFjc0;https://music.youtube.com/watch?v=hADNCcYFjc0;70;
\\DESKTOP-U8AN9SJ\Musique\Rock\Beatles\Anthology\1-19 Hello Little Girl.m4a;Beatles;Hello Little Girl;Anthology;100.31020408163265;low_confidence;psjPQT0cywU;https://music.youtube.com/watch?v=psjPQT0cywU;70;
\\DESKTOP-U8AN9SJ\Musique\Rock\Beatles\For Sale\11 Every Little Thing.m4a;Beatles;Every Little Thing;For Sale;124.59827664399093;low_confidence;jrDikOz8YSU;https://music.youtube.com/watch?v=jrDikOz8YSU;70;
\\DESKTOP-U8AN9SJ\Musique\Rock\Beatles\Help!\12 I`ve Just Seen a Face.m4a;Beatles;I`ve Just Seen a Face;Help!;127.22213151927437;low_confidence;m8LbJfC0SYM;https://music.youtube.com/watch?v=m8LbJfC0SYM;70;
\\DESKTOP-U8AN9SJ\Musique\Rock\Beatles\Let It Be\08 I've Got A Feeling.m4a;Beatles;I've Got A Feeling;Let It Be;218.01215419501133;low_confidence;DbKPZd5oihc;https://music.youtube.com/watch?v=DbKPZd5oihc;70;
\\DESKTOP-U8AN9SJ\Musique\Rock\Beatles\Live At The BBC\1-34 Till There Was You.m4a;Beatles;Till There Was You;Live At The BBC;133.2128798185941;low_confidence;SHAqAO7w8M8;https://music.youtube.com/watch?v=SHAqAO7w8M8;70;
\\DESKTOP-U8AN9SJ\Musique\Rock\Beatles\Revolver\12 I Want To Tell You.m4a;Beatles;I Want To Tell You;Revolver;149.93124716553288;low_confidence;7kXusIyqQ2o;https://music.youtube.com/watch?v=7kXusIyqQ2o;70;
\\DESKTOP-U8AN9SJ\Musique\Rock\Beatles\Rubber Soul\05 Think For Yourself.m4a;Beatles;Think For Yourself;Rubber Soul;139.38938775510204;low_confidence;vtx5NTxebJk;https://music.youtube.com/watch?v=vtx5NTxebJk;70;
\\DESKTOP-U8AN9SJ\Musique\Rock\Beatles\Sgt. Pepper's Lonely Hearts Club Band\06 She's Leaving Home.m4a;Beatles;She's Leaving Home;Sgt. Pepper's Lonely Hearts Club Band;215.10965986394558;low_confidence;VaBPY78D88g;https://music.youtube.com/watch?v=VaBPY78D88g;70;
\\DESKTOP-U8AN9SJ\Musique\Rock\Crosby Stills and Nash\Greatest Hits (2005)\12-Crosby_Stills_Nash_And_Young-Wooden_Ships-HHI.mp3;Crosby Stills Nash And Young;Wooden Ships;Greatest Hits;327.0269387755102;low_confidence;AdiuqQ7xm30;https://music.youtube.com/watch?v=AdiuqQ7xm30;70;
\\DESKTOP-U8AN9SJ\Musique\Rock\Deep Purple\The Very Best Of(1989)\07 - Deep Purple - Hallelujah.mp3;Deep Purple;Hallelujah;Best Of;223.75030379756728;low_confidence;NA4TpTb4-hw;https://music.youtube.com/watch?v=NA4TpTb4-hw;70;
\\DESKTOP-U8AN9SJ\Musique\Rock\Dredg\Catch without arms\dredg - zebra skin.mp3;Dredg;zebra skin;Catch Without Arms;206.62882140415977;low_confidence;#NOM?;https://music.youtube.com/watch?v=-S96p8Uo8mI;70;
\\DESKTOP-U8AN9SJ\Musique\Rock\Jack Johnson\Best of\22 Jack Johnson_Who Do You Love (liv.mp3;Jack Johnson;Who Do You Love (live);Best Of;170.4877443557605;low_confidence;dzNPQ0VDakw;https://music.youtube.com/watch?v=dzNPQ0VDakw;70;Résultat YouTube Music invalide (durée ou version live)
\\DESKTOP-U8AN9SJ\Musique\Rock\Kiss\Kiss - 04 - Hotter Than Hell.mp3;Kiss;Hotter Than Hell;Best Of;211.8729130856018;low_confidence;FapDsYN-M_k;https://music.youtube.com/watch?v=FapDsYN-M_k;70;
\\DESKTOP-U8AN9SJ\Musique\Rock\Motorhead\The Best Of\17 City Kids.mp3;Motorhead;City Kids;Best Of;226.39832484295403;low_confidence;bpphjVdxbog;https://music.youtube.com/watch?v=bpphjVdxbog;70;
\\DESKTOP-U8AN9SJ\Musique\Rock\The Kinks\Kinks - Live Life\Kinks - 12 - Hay Fever.mp3;The Kinks;Hay Fever;Live Life;199.2776467599965;low_confidence;1sgkcwKSpSs;https://music.youtube.com/watch?v=1sgkcwKSpSs;70;
\\DESKTOP-U8AN9SJ\Musique\Rock\The Yardbirds & Sonny Boy Williamson\1965 - The Yardbirds & Sonny Boy Williamson\04 - Out Of The Water Coast.mp3;The Yardbirds;Out Of The Water Coast (feat Sonny Boy Williamson);;195.10763402011526;low_confidence;9kVjZGqfKXA;https://music.youtube.com/watch?v=9kVjZGqfKXA;70;
\\DESKTOP-U8AN9SJ\Musique\Rock\The Yardbirds & Sonny Boy Williamson\1965 - The Yardbirds & Sonny Boy Williamson\08 - I Don't Care No More.mp3;The Yardbirds;I Don't Care No More (feat Sonny Boy Williamson);;197.77187384044527;low_confidence;bOZe-5JiuXE;https://music.youtube.com/watch?v=bOZe-5JiuXE;70;Résultat YouTube Music invalide (durée ou version live)
